sample,time_s,raw_u16,code12,voltage_V
169,0.084511000,25894,1618,1.303886
170,0.085010000,45627,2851,2.297537
171,0.085509000,57918,3619,2.916448
172,0.086009000,55469,3466,2.793129
173,0.086509000,39753,2484,2.001753
174,0.087008000,20164,1260,1.015354
175,0.087508000,8065,504,0.406111
176,0.088014000,10306,644,0.518956
177,0.088514000,25958,1622,1.307109
178,0.089008000,45563,2847,2.294314
179,0.089513000,58078,3629,2.924504
180,0.090013000,55485,3467,2.793934
181,0.090513000,39593,2474,1.993697
182,0.091013000,19860,1241,1.000046
183,0.091512000,7777,486,0.391609
184,0.092013000,10274,642,0.517345
185,0.092512000,25942,1621,1.306304
186,0.093012000,45659,2853,2.299148
187,0.093511000,57886,3617,2.914836
188,0.094011000,55501,3468,2.794740
189,0.094511000,39673,2479,1.997725
190,0.095010000,20004,1250,1.007297
191,0.095510000,7713,482,0.388386
192,0.096009000,10194,637,0.513317
193,0.096509000,25862,1616,1.302275
194,0.097008000,45355,2834,2.283841
195,0.097509000,57870,3616,2.914030
196,0.098008000,55501,3468,2.794740
197,0.098509000,39769,2485,2.002559
198,0.099009000,19988,1249,1.006491
199,0.099509000,7713,482,0.388386
200,0.100009000,10194,637,0.513317
201,0.100508000,25830,1614,1.300664
202,0.101008000,45483,2842,2.290286
203,0.101514000,57790,3611,2.910002
204,0.102008000,55485,3467,2.793934
205,0.102514000,39657,2478,1.996919
206,0.103013000,19924,1245,1.003268
207,0.103513000,7665,479,0.385969
208,0.104013000,10274,642,0.517345
209,0.104513000,26054,1628,1.311943
210,0.105013000,45579,2848,2.295120
211,0.105513000,57822,3613,2.911614
212,0.106012000,55357,3459,2.787489
213,0.106512000,39657,2478,1.996919
214,0.107011000,19844,1240,0.999240
215,0.107512000,7761,485,0.390803
216,0.108012000,10242,640,0.515734
217,0.108511000,25894,1618,1.303886
218,0.109011000,45803,2862,2.306400
219,0.109510000,57902,3618,2.915642
220,0.110010000,55517,3469,2.795546
221,0.110510000,39721,2482,2.000142
222,0.111009000,20036,1252,1.008908
223,0.111508000,7777,486,0.391609
224,0.112008000,10194,637,0.513317
225,0.112508000,25910,1619,1.304692
226,0.113014000,45819,2863,2.307205
227,0.113513000,57870,3616,2.914030
228,0.114013000,55453,3465,2.792323
229,0.114513000,39609,2475,1.994502
230,0.115013000,19876,1242,1.000851
231,0.115513000,7649,478,0.385164
232,0.116013000,10274,642,0.517345
233,0.116513000,26006,1625,1.309526
234,0.117014000,45643,2852,2.298343
235,0.117513000,57950,3621,2.918059
236,0.118012000,55325,3457,2.785878
237,0.118512000,39721,2482,2.000142
238,0.119012000,19924,1245,1.003268
239,0.119511000,7761,485,0.390803
240,0.120011000,10274,642,0.517345
241,0.120511000,25878,1617,1.303081
242,0.121011000,45739,2858,2.303177
243,0.121511000,58030,3626,2.922088
244,0.122011000,55117,3444,2.775404
245,0.122511000,39721,2482,2.000142
246,0.123011000,19972,1248,1.005685
247,0.123510000,7825,489,0.394026
248,0.124010000,10322,645,0.519762
249,0.124510000,25958,1622,1.307109
250,0.125010000,45467,2841,2.289480
251,0.125509000,57806,3612,2.910808
252,0.126009000,55389,3461,2.789100
253,0.126508000,39769,2485,2.002559
254,0.127008000,20052,1253,1.009714
255,0.127514000,7761,485,0.390803
256,0.128014000,10434,652,0.525402
257,0.128514000,26390,1649,1.328862
258,0.129013000,45787,2861,2.305594
259,0.129513000,58030,3626,2.922088
260,0.130012000,55341,3458,2.786683
261,0.130512000,39689,2480,1.998530
262,0.131012000,19876,1242,1.000851
263,0.131512000,8033,502,0.404500
264,0.132012000,10226,639,0.514928
265,0.132512000,26038,1627,1.311138
266,0.133012000,45723,2857,2.302371
267,0.133512000,57886,3617,2.914836
268,0.134011000,55261,3453,2.782655
269,0.134511000,39769,2485,2.002559
270,0.135012000,19972,1248,1.005685
271,0.135511000,7793,487,0.392415
272,0.136012000,10258,641,0.516539
273,0.136511000,25926,1620,1.305498
274,0.137011000,45739,2858,2.303177
275,0.137511000,57838,3614,2.912419
276,0.138011000,55453,3465,2.792323
277,0.138511000,39769,2485,2.002559
278,0.139010000,19972,1248,1.005685
279,0.139510000,7745,484,0.389998
280,0.140009000,10162,635,0.511705
281,0.140510000,25878,1617,1.303081
282,0.141010000,45675,2854,2.299954
283,0.141509000,57870,3616,2.914030
284,0.142009000,55357,3459,2.787489
285,0.142509000,39753,2484,2.001753
286,0.143009000,19956,1247,1.004880
