frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
308.620900,0.00013797,-81.5541,noise
310.574220,0.00053855,-69.7251,noise
312.527500,0.00065079,-68.0808,noise
314.480800,0.00097640,-64.5571,noise
316.434100,0.00055195,-69.5117,noise
318.387400,0.00049900,-70.3876,noise
320.340700,0.00051530,-70.1085,noise
322.293980,0.00019601,-78.5041,noise
324.247280,0.00031779,-74.3067,noise
326.200600,0.00057104,-69.2163,noise
328.153880,0.00060212,-68.7560,noise
330.107180,0.00036084,-73.2034,noise
332.060500,0.00039050,-72.5172,noise
334.013760,0.00083345,-65.9321,noise
335.967080,0.00021415,-77.7353,noise
337.920360,0.00093986,-64.8884,noise
339.873668,0.00088456,-65.4151,noise
341.826960,0.00014288,-81.2504,noise
343.780240,0.00010553,-83.8824,noise
345.733560,0.00018180,-79.1577,noise
347.686836,0.00037704,-72.8219,noise
349.640132,0.00025568,-76.1959,noise
351.593440,0.00028707,-75.1898,noise
353.546760,0.00031676,-74.3351,noise
355.500040,0.00020390,-78.1613,noise
357.453336,0.00025748,-76.1349,noise
359.406632,0.00019865,-78.3879,noise
361.359920,0.00048444,-70.6449,noise
363.313240,0.00052513,-69.9444,noise
365.266500,0.00047539,-70.8088,noise
367.219816,0.00047233,-70.8648,noise
369.173120,0.00022866,-77.1660,noise
371.126400,0.00051202,-70.1640,noise
373.079700,0.00036802,-73.0323,noise
375.033032,0.00039713,-72.3711,noise
376.986300,0.00061945,-68.5096,noise
378.939600,0.00060729,-68.6817,noise
380.892880,0.00038944,-72.5409,noise
382.846200,0.00038080,-72.7357,noise
384.799500,0.00022302,-77.3827,noise
386.752768,0.00017446,-79.5156,noise
388.706100,0.00026065,-76.0286,noise
390.659400,0.00009863,-84.4698,noise
392.612680,0.00003102,-94.5161,noise
394.565984,0.00024503,-76.5654,noise
396.519268,0.00052399,-69.9632,noise
398.472560,0.00034691,-73.5453,noise
400.425880,0.00011720,-82.9712,noise
402.379160,0.00011591,-83.0674,noise
404.332436,0.00021942,-77.5241,noise
406.285760,0.00022763,-77.2049,noise
408.239040,0.00050199,-70.3358,noise
410.192360,0.00048437,-70.6461,noise
412.145668,0.00063589,-68.2820,noise
414.098936,0.00043441,-71.5917,noise
416.052240,0.00014202,-81.3027,noise
418.005520,0.00010881,-83.6166,noise
419.958840,0.00028614,-75.2180,noise
421.912136,0.00043580,-71.5640,noise
423.865416,0.00050277,-70.3224,noise
