sample,time_s,raw_u16,code12,voltage_V
169,0.084512000,18516,1157,0.932369
170,0.085012000,7361,460,0.370661
171,0.085511000,11042,690,0.556017
172,0.086011000,27446,1715,1.382037
173,0.086510000,46923,2932,2.362797
174,0.087010000,58206,3637,2.930950
175,0.087509000,54541,3408,2.746400
176,0.088009000,38201,2387,1.923603
177,0.088509000,18564,1160,0.934786
178,0.089009000,7361,460,0.370661
179,0.089509000,10978,686,0.552795
180,0.090009000,27494,1718,1.384454
181,0.090508000,46907,2931,2.361991
182,0.091008000,58318,3644,2.936590
183,0.091514000,54509,3406,2.744788
184,0.092014000,38009,2375,1.913934
185,0.092513000,18516,1157,0.932369
186,0.093013000,7393,462,0.372273
187,0.093512000,11106,694,0.559240
188,0.094012000,27414,1713,1.380426
189,0.094511000,47003,2937,2.366825
190,0.095010000,58254,3640,2.933367
191,0.095510000,54605,3412,2.749622
192,0.096009000,38153,2384,1.921186
193,0.096509000,18660,1166,0.939620
194,0.097009000,7409,463,0.373079
195,0.097508000,11090,693,0.558434
196,0.098008000,27286,1705,1.373980
197,0.098508000,46971,2935,2.365214
198,0.099014000,58318,3644,2.936590
199,0.099513000,54477,3404,2.743177
200,0.100013000,38025,2376,1.914740
201,0.100513000,18468,1154,0.929952
202,0.101013000,7393,462,0.372273
203,0.101512000,11042,690,0.556017
204,0.102012000,27510,1719,1.385260
205,0.102512000,47067,2941,2.370048
206,0.103011000,58222,3638,2.931755
207,0.103511000,54509,3406,2.744788
208,0.104011000,38233,2389,1.925214
209,0.104510000,18596,1162,0.936397
210,0.105009000,7425,464,0.373884
211,0.105508000,10994,687,0.553600
212,0.106008000,27366,1710,1.378009
213,0.106514000,47099,2943,2.371659
214,0.107013000,58318,3644,2.936590
215,0.107512000,54541,3408,2.746400
216,0.108012000,38089,2380,1.917963
217,0.108512000,18516,1157,0.932369
218,0.109013000,7377,461,0.371467
219,0.109512000,11058,691,0.556823
220,0.110012000,27494,1718,1.384454
221,0.110512000,47083,2942,2.370854
222,0.111012000,58270,3641,2.934173
223,0.111511000,54525,3407,2.745594
224,0.112011000,38137,2383,1.920380
225,0.112510000,18628,1164,0.938009
226,0.113010000,7393,462,0.372273
227,0.113510000,11026,689,0.555212
228,0.114010000,27446,1715,1.382037
229,0.114510000,46987,2936,2.366020
230,0.115010000,58286,3642,2.934978
231,0.115509000,54573,3410,2.748011
232,0.116009000,38249,2390,1.926020
233,0.116509000,18708,1169,0.942037
234,0.117008000,7425,464,0.373884
235,0.117514000,11122,695,0.560046
236,0.118008000,27302,1706,1.374786
237,0.118514000,47147,2946,2.374076
238,0.119013000,58238,3639,2.932561
239,0.119513000,54509,3406,2.744788
240,0.120013000,38089,2380,1.917963
241,0.120513000,18580,1161,0.935592
242,0.121013000,7393,462,0.372273
243,0.121512000,11010,688,0.554406
244,0.122012000,27526,1720,1.386066
245,0.122512000,47147,2946,2.374076
246,0.123011000,58222,3638,2.931755
247,0.123511000,54621,3413,2.750428
248,0.124011000,38201,2387,1.923603
249,0.124510000,18596,1162,0.936397
250,0.125010000,7361,460,0.370661
251,0.125510000,11010,688,0.554406
252,0.126010000,27430,1714,1.381231
253,0.126510000,46955,2934,2.364408
254,0.127008000,58254,3640,2.933367
255,0.127508000,54589,3411,2.748816
